County,Total Positive,Total Negative,Total Tested,Total Recovered
Adams,0,30,30,0
Barnes,4,123,127,3
Benson,0,346,346,0
Billings,0,8,8,0
Bottineau,0,104,104,0
Bowman,1,176,177,1
Burke,3,57,60,0
Burleigh,74,2119,2193,33
Cass,431,4484,4915,157
Cavalier,0,37,37,0
Dickey,0,36,36,0
Divide,1,49,50,1
Dunn,10,121,131,1
Eddy,1,56,57,1
Emmons,1,61,62,0
Foster,1,36,37,1
Golden Valley,0,18,18,0
Grand Forks,231,2252,2483,44
Grant,1,31,32,0
Griggs,0,27,27,0
Hettinger,0,130,130,0
Kidder,0,28,28,0
LaMoure,0,42,42,0
Logan,0,32,32,0
McHenry,1,97,98,0
McIntosh,1,54,55,1
McKenzie,12,289,301,9
McLean,3,232,235,2
Mercer,0,126,126,0
Morton,24,748,772,11
Mountrail,34,858,892,27
Nelson,1,142,143,0
Oliver,1,19,20,0
Pembina,1,125,126,0
Pierce,2,47,49,2
Ramsey,4,295,299,3
Ransom,1,76,77,0
Renville,0,44,44,0
Richland,7,219,226,7
Rolette,1,153,154,0
Sargent,1,64,65,1
Sheridan,0,22,22,0
Sioux,1,64,65,0
Slope,3,125,128,3
Stark,41,1055,1096,22
Steele,0,29,29,0
Stutsman,4,378,382,1
Towner,0,34,34,0
Traill,0,141,141,0
Unknown,0,2684,2684,0
Walsh,7,415,422,3
Ward,21,1766,1787,8
Wells,2,192,194,0
Williams,10,596,606,8
