County,Total Positive,Total Negative,Total Tested,Total Recovered,Deaths
Adams,0,69,69,0,0
Barnes,4,729,733,4,0
Benson,1,515,516,1,0
Billings,0,32,32,0,0
Bottineau,2,284,286,0,0
Bowman,1,361,362,1,0
Burke,5,125,130,5,0
Burleigh,123,7654,7777,102,0
Cass,1596,15087,16683,1063,45
Cavalier,0,208,208,0,0
Dickey,0,261,261,0,0
Divide,1,392,393,1,0
Dunn,12,197,209,12,0
Eddy,4,250,254,2,0
Emmons,4,212,216,0,1
Foster,1,116,117,1,0
Golden Valley,0,87,87,0,0
Grand Forks,327,5212,5539,295,3
Grant,2,103,105,2,0
Griggs,1,179,180,1,0
Hettinger,0,230,230,0,0
Kidder,0,95,95,0,0
LaMoure,0,259,259,0,0
Logan,0,153,153,0,0
McHenry,2,310,312,1,1
McIntosh,1,239,240,1,0
McKenzie,16,716,732,16,0
McLean,7,642,649,6,0
Mercer,5,587,592,4,0
Morton,59,2432,2491,36,2
Mountrail,39,1346,1385,37,0
Nelson,1,281,282,1,0
Oliver,1,73,74,1,0
Pembina,6,446,452,6,0
Pierce,3,271,274,3,0
Ramsey,8,1112,1120,6,1
Ransom,8,618,626,3,0
Renville,1,148,149,1,0
Richland,19,1001,1020,11,0
Rolette,5,1111,1116,4,0
Sargent,3,570,573,3,0
Sheridan,0,43,43,0,0
Sioux,2,462,464,1,0
Slope,3,130,133,3,0
Stark,61,3532,3593,58,2
Steele,1,136,137,0,0
Stutsman,18,2291,2309,17,0
Towner,0,126,126,0,0
Traill,10,894,904,1,0
Unknown,0,5237,5237,0,0
Walsh,13,645,658,8,0
Ward,36,4197,4233,21,1
Wells,3,258,261,2,0
Williams,24,2237,2261,21,0
