County,Total Positive,Total Negative,Unique Individuals Tested,Total Recovered,Deaths
Adams,0,483,483,0,0
Barnes,23,1445,1468,19,0
Benson,11,1178,1189,4,0
Billings,1,204,205,1,0
Bottineau,5,717,722,5,0
Bowman,1,699,700,1,0
Burke,6,201,207,5,0
Burleigh,385,15962,16347,238,0
Cass,2402,27473,29875,2198,70
Cavalier,10,702,712,3,0
Dickey,5,488,493,4,0
Divide,1,448,449,1,0
Dunn,18,391,409,13,0
Eddy,5,484,489,5,0
Emmons,4,406,410,3,1
Foster,4,357,361,2,0
Golden Valley,0,314,314,0,0
Grand Forks,412,9518,9930,380,4
Grant,3,238,241,3,0
Griggs,2,272,274,2,0
Hettinger,1,527,528,1,0
Kidder,2,174,176,2,0
LaMoure,13,698,711,12,0
Logan,0,321,321,0,0
McHenry,6,524,530,2,1
McIntosh,4,717,721,2,0
McKenzie,31,1015,1046,26,0
McLean,11,1448,1459,11,0
Mercer,7,860,867,7,0
Morton,121,4623,4744,77,2
Mountrail,55,1741,1796,45,0
Nelson,2,439,441,1,0
Oliver,2,125,127,1,0
Pembina,14,874,888,9,0
Pierce,6,529,535,5,0
Ramsey,18,1887,1905,8,1
Ransom,21,997,1018,17,0
Renville,5,237,242,5,0
Richland,44,1888,1932,41,0
Rolette,11,2364,2375,10,0
Sargent,7,817,824,6,0
Sheridan,2,193,195,1,0
Sioux,32,1259,1291,16,0
Slope,3,137,140,3,0
Stark,85,4807,4892,68,3
Steele,3,265,268,1,0
Stutsman,66,4160,4226,62,2
Towner,1,192,193,0,0
Traill,23,1415,1438,16,0
Unknown,0,2317,2317,0,0
Walsh,41,2318,2359,23,0
Ward,67,8262,8329,57,1
Wells,9,489,498,8,0
Williams,59,3180,3239,34,0
