County,Total Positive,Total Negative,Total Tested,Total Recovered
Adams,0,62,62,0
Barnes,4,460,464,4
Benson,2,460,462,0
Billings,0,27,27,0
Bottineau,0,240,240,0
Bowman,1,345,346,1
Burke,5,114,119,4
Burleigh,106,5185,5291,61
Cass,935,9847,10782,528
Cavalier,0,158,158,0
Dickey,0,83,83,0
Divide,1,170,171,1
Dunn,11,168,179,11
Eddy,2,171,173,1
Emmons,1,83,84,0
Foster,1,74,75,1
Golden Valley,0,34,34,0
Grand Forks,297,4325,4622,156
Grant,2,86,88,1
Griggs,0,51,51,0
Hettinger,0,198,198,0
Kidder,0,79,79,0
LaMoure,0,91,91,0
Logan,0,47,47,0
McHenry,2,247,249,0
McIntosh,1,82,83,1
McKenzie,15,620,635,13
McLean,5,516,521,4
Mercer,4,420,424,3
Morton,38,1666,1704,19
Mountrail,37,1249,1286,34
Nelson,1,166,167,1
Oliver,1,35,36,1
Pembina,6,394,400,4
Pierce,3,256,259,2
Ramsey,7,756,763,3
Ransom,3,310,313,1
Renville,1,132,133,1
Richland,8,410,418,7
Rolette,3,936,939,1
Sargent,3,404,407,1
Sheridan,0,31,31,0
Sioux,1,422,423,1
Slope,3,129,132,3
Stark,61,3300,3361,50
Steele,0,42,42,0
Stutsman,16,1842,1858,10
Towner,0,114,114,0
Traill,1,222,223,0
Unknown,0,4696,4696,0
Walsh,9,527,536,7
Ward,28,2953,2981,20
Wells,2,223,225,2
Williams,20,1640,1660,11
