County,Cases,Deaths,Recovered,ReportDate
OKLAHOMA,1007,43,752,2020-05-13
TULSA,734,37,588,2020-05-13
TEXAS,474,4,247,2020-05-13
CLEVELAND,458,33,376,2020-05-13
WASHINGTON,300,28,241,2020-05-13
COMANCHE,184,2,86,2020-05-13
WAGONER,131,17,96,2020-05-13
CANADIAN,115,3,93,2020-05-13
CADDO,110,9,63,2020-05-13
DELAWARE,93,16,69,2020-05-13
OSAGE,90,8,63,2020-05-13
MCCLAIN,86,2,66,2020-05-13
CREEK,83,7,69,2020-05-13
ADAIR,74,3,55,2020-05-13
ROGERS,72,5,60,2020-05-13
GREER,66,7,55,2020-05-13
POTTAWATOMIE,55,4,42,2020-05-13
GRADY,54,2,39,2020-05-13
KAY,49,7,38,2020-05-13
PAYNE,44,1,42,2020-05-13
PITTSBURG,39,3,29,2020-05-13
OTTAWA,34,2,28,2020-05-13
CHEROKEE,29,1,23,2020-05-13
MUSKOGEE,29,6,20,2020-05-13
PAWNEE,29,2,22,2020-05-13
MAYES,25,4,20,2020-05-13
NOWATA,23,0,19,2020-05-13
GARFIELD,22,1,14,2020-05-13
STEPHENS,22,1,21,2020-05-13
SEMINOLE,21,2,11,2020-05-13
JACKSON,20,1,17,2020-05-13
BEAVER,20,0,13,2020-05-13
TILLMAN,20,1,2,2020-05-13
LOGAN,18,1,15,2020-05-13
LINCOLN,17,2,10,2020-05-13
OKMULGEE,16,0,16,2020-05-13
GARVIN,15,1,12,2020-05-13
SEQUOYAH,14,3,7,2020-05-13
LE FLORE,13,1,11,2020-05-13
CUSTER,12,0,12,2020-05-13
BRYAN,12,1,7,2020-05-13
CRAIG,12,0,10,2020-05-13
KINGFISHER,10,0,10,2020-05-13
PONTOTOC,10,2,8,2020-05-13
MCCURTAIN,8,0,7,2020-05-13
NOBLE,7,0,5,2020-05-13
MAJOR,6,1,3,2020-05-13
BECKHAM,6,0,5,2020-05-13
CARTER,6,1,2,2020-05-13
KIOWA,6,0,3,2020-05-13
MCINTOSH,5,0,4,2020-05-13
HASKELL,5,0,5,2020-05-13
COTTON,5,2,3,2020-05-13
LATIMER,5,1,2,2020-05-13
JEFFERSON,3,0,2,2020-05-13
LOVE,3,0,1,2020-05-13
WOODS,3,0,2,2020-05-13
CHOCTAW,3,0,1,2020-05-13
JOHNSTON,3,0,3,2020-05-13
OKFUSKEE,2,0,1,2020-05-13
GRANT,2,0,2,2020-05-13
MARSHALL,2,0,2,2020-05-13
DEWEY,2,0,2,2020-05-13
MURRAY,2,0,1,2020-05-13
CIMARRON,1,0,1,2020-05-13
BLAINE,1,0,0,2020-05-13
HARPER,1,0,1,2020-05-13
ALFALFA,1,0,1,2020-05-13
ATOKA,1,0,1,2020-05-13
PUSHMATAHA,1,0,1,2020-05-13
WOODWARD,1,0,1,2020-05-13
