County,Total Positive,Total Negative,Total Tested,Total Recovered,Deaths
Adams,0,384,384,0,0
Barnes,5,786,791,4,0
Benson,1,617,618,1,0
Billings,0,141,141,0,0
Bottineau,2,308,310,1,0
Bowman,1,388,389,1,0
Burke,5,152,157,5,0
Burleigh,132,8217,8349,107,0
Cass,1783,17037,18820,1408,55
Cavalier,0,223,223,0,0
Dickey,1,267,268,0,0
Divide,1,405,406,1,0
Dunn,11,309,320,11,0
Eddy,4,265,269,4,0
Emmons,4,226,230,2,1
Foster,1,135,136,1,0
Golden Valley,0,282,282,0,0
Grand Forks,336,5745,6081,301,3
Grant,2,113,115,2,0
Griggs,1,185,186,0,0
Hettinger,0,436,436,0,0
Kidder,0,103,103,0,0
LaMoure,0,273,273,0,0
Logan,0,160,160,0,0
McHenry,2,343,345,1,1
McIntosh,1,244,245,1,0
McKenzie,17,770,787,17,0
McLean,7,730,737,7,0
Mercer,5,636,641,5,0
Morton,60,2701,2761,46,2
Mountrail,41,1410,1451,40,0
Nelson,1,304,305,1,0
Oliver,1,77,78,1,0
Pembina,6,517,523,6,0
Pierce,3,283,286,3,0
Ramsey,8,1223,1231,6,1
Ransom,11,651,662,7,0
Renville,3,174,177,1,0
Richland,22,1356,1378,18,0
Rolette,6,1172,1178,5,0
Sargent,3,654,657,3,0
Sheridan,0,137,137,0,0
Sioux,1,466,467,0,0
Slope,3,130,133,3,0
Stark,62,3669,3731,58,2
Steele,1,147,148,0,0
Stutsman,29,2996,3025,18,0
Towner,0,130,130,0,0
Traill,14,1024,1038,4,0
Unknown,0,4577,4577,0,0
Walsh,15,686,701,13,0
Ward,39,4789,4828,30,1
Wells,3,309,312,3,0
Williams,25,2361,2386,23,0
