County,Cases,Deaths,Recovered,ReportDate
OKLAHOMA,1309,62,1133,2020-06-03
TULSA,1087,57,856,2020-06-03
TEXAS,939,6,880,2020-06-03
CLEVELAND,511,37,454,2020-06-03
WASHINGTON,334,36,276,2020-06-03
COMANCHE,290,3,266,2020-06-03
CADDO,167,10,134,2020-06-03
WAGONER,150,17,128,2020-06-03
CANADIAN,133,3,124,2020-06-03
MCCLAIN,106,3,95,2020-06-03
DELAWARE,100,16,83,2020-06-03
GRADY,100,3,73,2020-06-03
CREEK,97,7,84,2020-06-03
OSAGE,96,8,86,2020-06-03
ADAIR,91,4,78,2020-06-03
CHOCTAW,87,1,22,2020-06-03
ROGERS,82,5,73,2020-06-03
MCCURTAIN,75,1,23,2020-06-03
GREER,66,7,59,2020-06-03
POTTAWATOMIE,63,4,53,2020-06-03
MUSKOGEE,60,6,29,2020-06-03
KAY,57,7,46,2020-06-03
PAYNE,48,1,44,2020-06-03
CARTER,45,1,25,2020-06-03
PITTSBURG,41,3,37,2020-06-03
STEPHENS,40,1,37,2020-06-03
OTTAWA,35,2,33,2020-06-03
BRYAN,32,1,19,2020-06-03
PAWNEE,31,2,27,2020-06-03
CHEROKEE,31,1,27,2020-06-03
MAYES,30,4,26,2020-06-03
CUSTER,30,0,13,2020-06-03
SEMINOLE,28,2,21,2020-06-03
JACKSON,27,3,20,2020-06-03
GARFIELD,27,1,24,2020-06-03
OKMULGEE,25,0,22,2020-06-03
BEAVER,24,0,24,2020-06-03
NOWATA,23,0,22,2020-06-03
TILLMAN,23,1,21,2020-06-03
LINCOLN,22,2,19,2020-06-03
LOGAN,19,1,17,2020-06-03
GARVIN,18,1,14,2020-06-03
LOVE,16,0,15,2020-06-03
SEQUOYAH,15,3,11,2020-06-03
CRAIG,15,0,15,2020-06-03
PONTOTOC,15,2,8,2020-06-03
LE FLORE,14,1,12,2020-06-03
MCINTOSH,12,1,10,2020-06-03
KINGFISHER,11,0,11,2020-06-03
MARSHALL,8,0,7,2020-06-03
BLAINE,8,0,6,2020-06-03
BECKHAM,7,0,6,2020-06-03
NOBLE,7,0,7,2020-06-03
KIOWA,6,0,4,2020-06-03
MAJOR,6,1,5,2020-06-03
HASKELL,6,0,6,2020-06-03
MURRAY,5,0,3,2020-06-03
COTTON,5,2,3,2020-06-03
OKFUSKEE,5,0,3,2020-06-03
LATIMER,5,1,4,2020-06-03
PUSHMATAHA,5,0,2,2020-06-03
WOODWARD,5,0,4,2020-06-03
JEFFERSON,4,0,4,2020-06-03
ATOKA,4,0,2,2020-06-03
WOODS,3,0,3,2020-06-03
DEWEY,3,0,2,2020-06-03
HUGHES,3,0,0,2020-06-03
COAL,3,0,1,2020-06-03
JOHNSTON,3,0,3,2020-06-03
WASHITA,2,0,2,2020-06-03
GRANT,2,0,2,2020-06-03
ALFALFA,1,0,1,2020-06-03
HARPER,1,0,1,2020-06-03
CIMARRON,1,0,1,2020-06-03
