County,Total Positive,Total Negative,Total Tested,Total Recovered,Deaths
Adams,0,403,403,0,0
Barnes,9,1077,1086,6,0
Benson,3,1017,1020,2,0
Billings,0,143,143,0,0
Bottineau,4,522,526,3,0
Bowman,1,406,407,1,0
Burke,5,162,167,5,0
Burleigh,165,9750,9915,131,0
Cass,2044,20607,22651,1775,62
Cavalier,0,258,258,0,0
Dickey,3,381,384,0,0
Divide,1,410,411,1,0
Dunn,11,316,327,11,0
Eddy,5,438,443,4,0
Emmons,4,349,353,3,1
Foster,1,183,184,1,0
Golden Valley,0,292,292,0,0
Grand Forks,343,6596,6939,325,4
Grant,2,202,204,2,0
Griggs,1,232,233,1,0
Hettinger,0,469,469,0,0
Kidder,2,149,151,0,0
LaMoure,10,313,323,3,0
Logan,0,173,173,0,0
McHenry,2,416,418,1,1
McIntosh,1,288,289,1,0
McKenzie,21,829,850,18,0
McLean,10,1155,1165,7,0
Mercer,6,692,698,6,0
Morton,65,3188,3253,58,2
Mountrail,43,1528,1571,42,0
Nelson,1,368,369,1,0
Oliver,1,86,87,1,0
Pembina,7,624,631,6,0
Pierce,3,425,428,3,0
Ramsey,8,1488,1496,7,1
Ransom,12,791,803,8,0
Renville,3,193,196,3,0
Richland,37,1573,1610,22,0
Rolette,7,1348,1355,5,0
Sargent,4,706,710,4,0
Sheridan,1,150,151,0,0
Sioux,3,624,627,2,0
Slope,3,135,138,3,0
Stark,63,4047,4110,58,2
Steele,1,231,232,1,0
Stutsman,52,3200,3252,26,0
Towner,0,149,149,0,0
Traill,15,1196,1211,13,0
Unknown,0,3117,3117,0,0
Walsh,16,1137,1153,15,0
Ward,47,6319,6366,42,1
Wells,8,422,430,5,0
Williams,26,2527,2553,26,0
