County,Cases,Deaths,Recovered,ReportDate
TULSA,2483,66,1539,2020-06-23
OKLAHOMA,2230,65,1595,2020-06-23
TEXAS,983,6,964,2020-06-23
CLEVELAND,711,40,512,2020-06-23
WASHINGTON,381,38,316,2020-06-23
COMANCHE,377,5,313,2020-06-23
MCCURTAIN,349,2,134,2020-06-23
PAYNE,278,1,88,2020-06-23
WAGONER,216,18,146,2020-06-23
CANADIAN,207,3,153,2020-06-23
CADDO,181,10,164,2020-06-23
OSAGE,146,8,109,2020-06-23
MCCLAIN,133,4,111,2020-06-23
ROGERS,132,5,94,2020-06-23
CREEK,127,7,101,2020-06-23
GRADY,125,5,113,2020-06-23
DELAWARE,118,16,92,2020-06-23
ADAIR,110,4,91,2020-06-23
CHOCTAW,108,1,100,2020-06-23
MUSKOGEE,100,9,56,2020-06-23
POTTAWATOMIE,90,4,64,2020-06-23
KAY,81,7,59,2020-06-23
CARTER,74,1,57,2020-06-23
BRYAN,72,1,48,2020-06-23
MAYES,70,4,40,2020-06-23
CHEROKEE,66,1,42,2020-06-23
GREER,66,7,57,2020-06-23
GARFIELD,60,1,47,2020-06-23
CUSTER,51,0,40,2020-06-23
PAWNEE,51,2,38,2020-06-23
GARVIN,51,1,22,2020-06-23
PITTSBURG,50,3,40,2020-06-23
STEPHENS,49,1,45,2020-06-23
OKMULGEE,48,0,32,2020-06-23
OTTAWA,43,2,36,2020-06-23
MCINTOSH,40,1,16,2020-06-23
SEMINOLE,35,3,30,2020-06-23
LOGAN,33,1,20,2020-06-23
JACKSON,33,3,26,2020-06-23
BEAVER,30,0,30,2020-06-23
NOBLE,30,0,12,2020-06-23
NOWATA,29,1,24,2020-06-23
LINCOLN,28,2,22,2020-06-23
PONTOTOC,28,2,19,2020-06-23
LE FLORE,28,1,16,2020-06-23
SEQUOYAH,27,3,16,2020-06-23
LOVE,26,0,22,2020-06-23
MARSHALL,25,0,15,2020-06-23
TILLMAN,23,1,22,2020-06-23
KINGFISHER,20,0,12,2020-06-23
CRAIG,18,0,16,2020-06-23
ATOKA,14,0,7,2020-06-23
BLAINE,14,0,11,2020-06-23
MURRAY,14,0,12,2020-06-23
WOODWARD,12,0,8,2020-06-23
OKFUSKEE,11,0,6,2020-06-23
JOHNSTON,10,0,5,2020-06-23
BECKHAM,9,0,7,2020-06-23
MAJOR,8,1,5,2020-06-23
PUSHMATAHA,8,0,6,2020-06-23
HASKELL,7,0,6,2020-06-23
LATIMER,7,1,5,2020-06-23
KIOWA,6,1,5,2020-06-23
COAL,6,0,4,2020-06-23
COTTON,5,2,3,2020-06-23
WOODS,5,0,5,2020-06-23
HUGHES,5,0,3,2020-06-23
JEFFERSON,4,0,4,2020-06-23
DEWEY,4,0,3,2020-06-23
WASHITA,3,0,2,2020-06-23
GRANT,2,0,2,2020-06-23
ELLIS,1,0,0,2020-06-23
HARPER,1,0,1,2020-06-23
CIMARRON,1,0,1,2020-06-23
ALFALFA,1,0,1,2020-06-23
