County,Total Positive,Total Negative,Unique Individuals Tested,Total Recovered,Deaths
Adams,0,582,582,0,0
Barnes,25,1857,1882,21,0
Benson,16,1231,1247,4,0
Billings,1,205,206,1,0
Bottineau,7,739,746,5,0
Bowman,1,703,704,1,0
Burke,7,260,267,5,0
Burleigh,469,16824,17293,285,0
Cass,2503,28797,31300,2284,73
Cavalier,18,739,757,4,0
Dickey,6,526,532,4,0
Divide,1,447,448,1,0
Dunn,26,415,441,14,0
Eddy,5,497,502,5,0
Emmons,5,426,431,3,1
Foster,3,373,376,2,0
Golden Valley,1,325,326,0,0
Grand Forks,461,10072,10533,396,4
Grant,4,247,251,3,0
Griggs,2,283,285,2,0
Hettinger,1,547,548,1,0
Kidder,3,211,214,2,0
LaMoure,14,715,729,13,0
Logan,1,334,335,0,0
McHenry,9,554,563,4,1
McIntosh,8,731,739,2,0
McKenzie,39,1181,1220,26,0
McLean,12,1485,1497,11,0
Mercer,9,899,908,7,0
Morton,139,4914,5053,96,2
Mountrail,69,1793,1862,47,0
Nelson,2,444,446,1,0
Oliver,2,131,133,2,0
Pembina,15,934,949,11,0
Pierce,8,638,646,5,0
Ramsey,22,1975,1997,10,1
Ransom,21,1021,1042,19,0
Renville,7,244,251,5,0
Richland,47,1948,1995,42,0
Rolette,12,2416,2428,11,0
Sargent,8,839,847,6,0
Sheridan,2,198,200,1,0
Sioux,38,1321,1359,23,0
Slope,3,137,140,3,0
Stark,99,5399,5498,76,3
Steele,4,280,284,3,0
Stutsman,69,4254,4323,62,2
Towner,3,222,225,0,0
Traill,28,1464,1492,18,0
Unknown,0,2526,2526,0,0
Walsh,60,2496,2556,28,0
Ward,76,8526,8602,63,1
Wells,10,507,517,8,0
Williams,92,3708,3800,39,0
