County,Cases,Deaths,Recovered,ReportDate
OKLAHOMA,1035,45,795,2020-05-15
TULSA,752,37,627,2020-05-15
TEXAS,606,4,281,2020-05-15
CLEVELAND,459,35,393,2020-05-15
WASHINGTON,301,30,248,2020-05-15
COMANCHE,205,3,109,2020-05-15
WAGONER,133,17,99,2020-05-15
CANADIAN,116,3,96,2020-05-15
CADDO,111,9,70,2020-05-15
DELAWARE,93,16,70,2020-05-15
OSAGE,91,8,64,2020-05-15
MCCLAIN,86,2,69,2020-05-15
CREEK,83,7,71,2020-05-15
ADAIR,74,3,55,2020-05-15
ROGERS,72,5,62,2020-05-15
GREER,66,7,56,2020-05-15
GRADY,60,2,41,2020-05-15
POTTAWATOMIE,55,4,46,2020-05-15
KAY,49,7,39,2020-05-15
PAYNE,44,1,42,2020-05-15
PITTSBURG,39,3,34,2020-05-15
OTTAWA,35,2,29,2020-05-15
CHEROKEE,29,1,24,2020-05-15
MUSKOGEE,29,6,22,2020-05-15
PAWNEE,29,2,24,2020-05-15
MAYES,27,4,20,2020-05-15
NOWATA,23,0,19,2020-05-15
STEPHENS,23,1,21,2020-05-15
GARFIELD,23,1,14,2020-05-15
BEAVER,22,0,16,2020-05-15
JACKSON,21,1,17,2020-05-15
SEMINOLE,21,2,17,2020-05-15
TILLMAN,21,1,13,2020-05-15
LOGAN,18,1,16,2020-05-15
LINCOLN,17,2,13,2020-05-15
OKMULGEE,16,0,16,2020-05-15
GARVIN,16,1,13,2020-05-15
SEQUOYAH,14,3,8,2020-05-15
LE FLORE,13,1,11,2020-05-15
CRAIG,13,0,11,2020-05-15
BRYAN,12,1,7,2020-05-15
CUSTER,12,0,12,2020-05-15
PONTOTOC,10,2,8,2020-05-15
KINGFISHER,10,0,10,2020-05-15
MCCURTAIN,9,0,7,2020-05-15
MCINTOSH,8,0,4,2020-05-15
CARTER,8,1,4,2020-05-15
NOBLE,7,0,6,2020-05-15
KIOWA,7,0,5,2020-05-15
MAJOR,6,1,3,2020-05-15
BECKHAM,6,0,5,2020-05-15
HASKELL,5,0,5,2020-05-15
COTTON,5,2,3,2020-05-15
LATIMER,5,1,3,2020-05-15
MARSHALL,4,0,2,2020-05-15
CHOCTAW,3,0,3,2020-05-15
JOHNSTON,3,0,3,2020-05-15
JEFFERSON,3,0,3,2020-05-15
WOODS,3,0,2,2020-05-15
LOVE,3,0,2,2020-05-15
BLAINE,2,0,0,2020-05-15
OKFUSKEE,2,0,1,2020-05-15
MURRAY,2,0,2,2020-05-15
DEWEY,2,0,2,2020-05-15
GRANT,2,0,2,2020-05-15
ALFALFA,1,0,1,2020-05-15
HARPER,1,0,1,2020-05-15
WASHITA,1,0,0,2020-05-15
PUSHMATAHA,1,0,1,2020-05-15
ATOKA,1,0,1,2020-05-15
WOODWARD,1,0,1,2020-05-15
CIMARRON,1,0,1,2020-05-15
