County,Cases,Deaths,Recovered,ReportDate
OTHER*,2997,132,2551,2020-05-30
OKLAHOMA,1128,59,986,2020-05-30
TULSA,901,50,720,2020-05-30
CLEVELAND,452,34,400,2020-05-30
WASHINGTON,253,33,212,2020-05-30
COMANCHE,250,3,207,2020-05-30
CANADIAN,97,2,89,2020-05-30
KAY,48,5,41,2020-05-30
CREEK,45,3,39,2020-05-30
WAGONER,40,1,36,2020-05-30
POTTAWATOMIE,38,4,31,2020-05-30
CARTER,33,1,12,2020-05-30
MUSKOGEE,28,4,13,2020-05-30
GARFIELD,25,1,22,2020-05-30
STEPHENS,25,0,22,2020-05-30
OSAGE,22,0,22,2020-05-30
PAYNE,21,0,21,2020-05-30
ROGERS,7,0,6,2020-05-30
LOGAN,4,1,3,2020-05-30
MCCLAIN,2,1,0,2020-05-30
GRADY,1,0,1,2020-05-30
NOBLE,1,0,1,2020-05-30
