County,Total Positive,Total Negative,Total Tested,Total Recovered,Deaths
Adams,0,74,74,0,0
Barnes,4,745,749,4,0
Benson,1,604,605,1,0
Billings,0,141,141,0,0
Bottineau,2,300,302,1,0
Bowman,1,364,365,1,0
Burke,5,151,156,5,0
Burleigh,127,7947,8074,102,0
Cass,1685,15938,17623,1218,49
Cavalier,0,217,217,0,0
Dickey,0,262,262,0,0
Divide,1,404,405,1,0
Dunn,12,200,212,12,0
Eddy,4,259,263,2,0
Emmons,4,220,224,0,1
Foster,1,125,126,1,0
Golden Valley,0,277,277,0,0
Grand Forks,333,5370,5703,299,3
Grant,2,108,110,2,0
Griggs,1,183,184,1,0
Hettinger,0,310,310,0,0
Kidder,0,98,98,0,0
LaMoure,0,259,259,0,0
Logan,0,156,156,0,0
McHenry,2,360,362,1,1
McIntosh,1,239,240,1,0
McKenzie,17,791,808,16,0
McLean,7,679,686,7,0
Mercer,5,620,625,4,0
Morton,59,2654,2713,38,2
Mountrail,39,1369,1408,39,0
Nelson,1,284,285,1,0
Oliver,1,76,77,1,0
Pembina,6,499,505,6,0
Pierce,3,276,279,3,0
Ramsey,8,1194,1202,6,1
Ransom,8,634,642,4,0
Renville,3,166,169,1,0
Richland,22,1114,1136,13,0
Rolette,6,1156,1162,4,0
Sargent,3,640,643,3,0
Sheridan,0,93,93,0,0
Sioux,2,465,467,1,0
Slope,3,130,133,3,0
Stark,61,3594,3655,58,2
Steele,1,145,146,0,0
Stutsman,23,2679,2702,17,0
Towner,0,128,128,0,0
Traill,12,1007,1019,3,0
Unknown,0,5031,5031,0,0
Walsh,13,667,680,10,0
Ward,37,4373,4410,28,1
Wells,3,301,304,2,0
Williams,25,2351,2376,23,0
