County,Total Positive,Total Negative,Total Tested,Total Recovered,Deaths
Adams,0,64,64,0,0
Barnes,4,617,621,4,0
Benson,1,481,482,0,0
Billings,0,30,30,0,0
Bottineau,1,252,253,0,0
Bowman,1,350,351,1,0
Burke,5,120,125,4,0
Burleigh,117,6580,6697,89,0
Cass,1229,11675,12904,705,34
Cavalier,0,200,200,0,0
Dickey,0,140,140,0,0
Divide,1,172,173,1,0
Dunn,12,177,189,12,0
Eddy,2,180,182,1,0
Emmons,1,100,101,0,1
Foster,1,107,108,1,0
Golden Valley,0,76,76,0,0
Grand Forks,317,4851,5168,211,3
Grant,2,93,95,1,0
Griggs,0,151,151,0,0
Hettinger,0,203,203,0,0
Kidder,0,90,90,0,0
LaMoure,0,241,241,0,0
Logan,0,144,144,0,0
McHenry,2,272,274,1,1
McIntosh,1,215,216,1,0
McKenzie,16,650,666,16,0
McLean,7,558,565,6,0
Mercer,4,507,511,3,0
Morton,40,1959,1999,31,2
Mountrail,39,1302,1341,34,0
Nelson,1,191,192,1,0
Oliver,1,42,43,1,0
Pembina,6,418,424,6,0
Pierce,3,259,262,3,0
Ramsey,8,1061,1069,4,1
Ransom,7,384,391,2,0
Renville,1,139,140,1,0
Richland,11,614,625,7,0
Rolette,4,1041,1045,2,0
Sargent,3,439,442,3,0
Sheridan,0,37,37,0,0
Sioux,2,432,434,1,0
Slope,3,129,132,3,0
Stark,61,3406,3467,54,2
Steele,1,54,55,0,0
Stutsman,16,2167,2183,13,0
Towner,0,119,119,0,0
Traill,2,283,285,1,0
Unknown,0,6077,6077,0,0
Walsh,10,604,614,7,0
Ward,28,3280,3308,21,1
Wells,2,241,243,2,0
Williams,21,1763,1784,15,0
