County,Cases,Deaths,Recovered,ReportDate
OKLAHOMA,1087,49,872,2020-05-19
TULSA,802,37,664,2020-05-19
TEXAS,784,4,364,2020-05-19
CLEVELAND,470,36,400,2020-05-19
WASHINGTON,304,32,257,2020-05-19
COMANCHE,229,3,129,2020-05-19
WAGONER,137,17,101,2020-05-19
CADDO,122,10,92,2020-05-19
CANADIAN,120,3,99,2020-05-19
DELAWARE,96,16,72,2020-05-19
MCCLAIN,95,2,78,2020-05-19
OSAGE,92,8,73,2020-05-19
CREEK,85,7,74,2020-05-19
ADAIR,77,3,58,2020-05-19
ROGERS,72,5,66,2020-05-19
GREER,66,7,56,2020-05-19
GRADY,65,2,44,2020-05-19
POTTAWATOMIE,57,4,49,2020-05-19
KAY,50,7,40,2020-05-19
PAYNE,45,1,43,2020-05-19
PITTSBURG,39,3,35,2020-05-19
OTTAWA,35,2,31,2020-05-19
MUSKOGEE,30,6,23,2020-05-19
CHEROKEE,29,1,25,2020-05-19
PAWNEE,29,2,25,2020-05-19
MAYES,28,4,20,2020-05-19
STEPHENS,25,1,21,2020-05-19
BEAVER,23,0,19,2020-05-19
GARFIELD,23,1,14,2020-05-19
NOWATA,23,0,20,2020-05-19
TILLMAN,22,1,16,2020-05-19
JACKSON,21,1,18,2020-05-19
SEMINOLE,21,2,18,2020-05-19
BRYAN,19,1,13,2020-05-19
LINCOLN,19,2,15,2020-05-19
LOGAN,18,1,16,2020-05-19
OKMULGEE,18,0,16,2020-05-19
CARTER,15,1,5,2020-05-19
GARVIN,15,1,13,2020-05-19
CRAIG,15,0,12,2020-05-19
SEQUOYAH,14,3,10,2020-05-19
LE FLORE,13,1,11,2020-05-19
CUSTER,12,0,12,2020-05-19
MCCURTAIN,12,0,9,2020-05-19
PONTOTOC,11,2,8,2020-05-19
KINGFISHER,10,0,10,2020-05-19
MCINTOSH,10,1,5,2020-05-19
NOBLE,7,0,6,2020-05-19
BECKHAM,6,0,6,2020-05-19
KIOWA,6,0,4,2020-05-19
LATIMER,6,1,4,2020-05-19
MARSHALL,6,0,3,2020-05-19
MAJOR,6,1,4,2020-05-19
CHOCTAW,6,0,3,2020-05-19
COTTON,5,2,3,2020-05-19
HASKELL,5,0,5,2020-05-19
LOVE,4,0,3,2020-05-19
BLAINE,3,0,1,2020-05-19
WOODS,3,0,3,2020-05-19
JOHNSTON,3,0,3,2020-05-19
JEFFERSON,3,0,3,2020-05-19
MURRAY,2,0,2,2020-05-19
GRANT,2,0,2,2020-05-19
DEWEY,2,0,2,2020-05-19
OKFUSKEE,2,0,1,2020-05-19
PUSHMATAHA,1,0,1,2020-05-19
WOODWARD,1,0,1,2020-05-19
ALFALFA,1,0,1,2020-05-19
COAL,1,0,0,2020-05-19
HARPER,1,0,1,2020-05-19
CIMARRON,1,0,1,2020-05-19
WASHITA,1,0,0,2020-05-19
ATOKA,1,0,1,2020-05-19
