County,Total Positive,Total Negative,Unique Individuals Tested,Total Recovered,Deaths
Adams,0,471,471,0,0
Barnes,19,1387,1406,18,0
Benson,4,1148,1152,3,0
Billings,1,186,187,1,0
Bottineau,5,695,700,5,0
Bowman,1,585,586,1,0
Burke,5,191,196,5,0
Burleigh,281,13435,13716,194,0
Cass,2277,26026,28303,2088,66
Cavalier,3,443,446,2,0
Dickey,4,470,474,4,0
Divide,1,439,440,1,0
Dunn,14,362,376,12,0
Eddy,5,467,472,5,0
Emmons,4,385,389,3,1
Foster,2,331,333,1,0
Golden Valley,0,305,305,0,0
Grand Forks,390,8411,8801,360,4
Grant,3,234,237,3,0
Griggs,2,265,267,2,0
Hettinger,1,517,518,0,0
Kidder,2,168,170,2,0
LaMoure,13,679,692,11,0
Logan,0,304,304,0,0
McHenry,4,499,503,2,1
McIntosh,2,704,706,1,0
McKenzie,27,951,978,24,0
McLean,11,1390,1401,11,0
Mercer,7,809,816,6,0
Morton,93,4112,4205,69,2
Mountrail,50,1658,1708,43,0
Nelson,1,411,412,1,0
Oliver,2,110,112,1,0
Pembina,9,724,733,9,0
Pierce,5,488,493,4,0
Ramsey,10,1764,1774,8,1
Ransom,17,980,997,17,0
Renville,5,230,235,4,0
Richland,41,1779,1820,40,0
Rolette,10,2212,2222,8,0
Sargent,6,788,794,4,0
Sheridan,1,184,185,1,0
Sioux,23,1246,1269,9,0
Slope,3,135,138,3,0
Stark,77,4597,4674,67,3
Steele,2,250,252,1,0
Stutsman,63,4073,4136,61,1
Towner,0,178,178,0,0
Traill,20,1354,1374,15,0
Unknown,0,2231,2231,0,0
Walsh,25,1402,1427,19,0
Ward,60,7940,8000,53,1
Wells,9,473,482,7,0
Williams,37,2962,2999,26,0
