County,Total Positive,Total Negative,Unique Individuals Tested,Total Recovered,Deaths
Adams,0,478,478,0,0
Barnes,22,1423,1445,18,0
Benson,4,1166,1170,4,0
Billings,1,207,208,1,0
Bottineau,5,707,712,5,0
Bowman,1,694,695,1,0
Burke,6,195,201,5,0
Burleigh,328,14567,14895,208,0
Cass,2351,26897,29248,2162,66
Cavalier,5,462,467,2,0
Dickey,4,482,486,4,0
Divide,1,440,441,1,0
Dunn,15,376,391,13,0
Eddy,5,469,474,5,0
Emmons,4,390,394,3,1
Foster,2,337,339,2,0
Golden Valley,0,313,313,0,0
Grand Forks,406,9372,9778,364,4
Grant,3,237,240,3,0
Griggs,2,269,271,2,0
Hettinger,1,523,524,0,0
Kidder,2,170,172,2,0
LaMoure,13,694,707,11,0
Logan,0,309,309,0,0
McHenry,5,512,517,2,1
McIntosh,2,713,715,1,0
McKenzie,27,979,1006,24,0
McLean,11,1413,1424,11,0
Mercer,7,835,842,7,0
Morton,103,4347,4450,72,2
Mountrail,54,1715,1769,43,0
Nelson,1,427,428,1,0
Oliver,2,121,123,1,0
Pembina,10,793,803,9,0
Pierce,5,495,500,4,0
Ramsey,12,1846,1858,8,1
Ransom,19,991,1010,17,0
Renville,5,233,238,5,0
Richland,43,1826,1869,41,0
Rolette,11,2242,2253,8,0
Sargent,6,805,811,5,0
Sheridan,1,191,192,1,0
Sioux,25,1251,1276,11,0
Slope,3,136,139,3,0
Stark,80,4751,4831,68,3
Steele,3,259,262,1,0
Stutsman,65,4114,4179,62,1
Towner,0,188,188,0,0
Traill,22,1394,1416,16,0
Unknown,0,2237,2237,0,0
Walsh,29,2071,2100,23,0
Ward,65,8108,8173,55,1
Wells,9,479,488,8,0
Williams,43,3084,3127,27,0
